t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
748,1,MS,6.70400000,1,394003.98540678,394003.98540678,0.00253641
749,1,MS,6.52400000,1,393924.31844302,393924.31844302,0.00249814
750,1,MS,6.11600000,1,393847.05565161,393847.05565161,0.00241333
751,1,MS,5.96300000,1,393770.70724938,393770.70724938,0.00238221
752,1,MS,5.53300000,1,393697.14711380,393697.14711380,0.00229671
753,1,MS,4.89600000,1,393627.54304103,393627.54304103,0.00217520
754,1,MS,4.27000000,1,393561.63235775,393561.63235775,0.00206155
755,1,MS,3.72500000,1,393498.79036577,393498.79036577,0.00196705
756,1,MS,3.29600000,1,393438.29209249,393438.29209249,0.00189547
757,1,MS,2.92600000,1,393379.77818302,393379.77818302,0.00183567
758,1,MS,2.65800000,1,393322.72538948,393322.72538948,0.00179343
759,1,MS,2.47500000,1,393266.68493947,393266.68493947,0.00176510
760,1,MS,2.32300000,1,393211.51570462,393211.51570462,0.00174189
761,1,MS,2.20300000,1,393157.08126938,393157.08126938,0.00172376
762,1,MS,2.10700000,1,393103.29742361,393103.29742361,0.00170938
763,1,MS,2.00600000,1,393050.18755489,393050.18755489,0.00169437
764,1,MS,1.91300000,1,392997.71584567,392997.71584567,0.00168065
765,1,MS,1.83200000,1,392945.64522994,392945.64522994,0.00166879
766,1,MS,1.78900000,1,392893.29007750,392893.29007750,0.00166253
767,1,MS,1.98900000,1,392838.77888769,392838.77888769,0.00169185
768,1,MS,2.90600000,1,392777.59591125,392777.59591125,0.00183248
769,1,MS,4.18800000,1,392706.34641612,392706.34641612,0.00204707
770,1,MS,5.08800000,1,392626.17120889,392626.17120889,0.00221119
771,1,MS,5.41000000,1,392540.54601812,392540.54601812,0.00227278
772,1,MS,5.22200000,1,392453.66507327,392453.66507327,0.00223663
773,1,MS,4.83800000,1,392367.82800656,392367.82800656,0.00216444
774,1,MS,4.55100000,1,392282.75827475,392282.75827475,0.00211187
775,1,MS,4.33700000,1,392198.34260361,392198.34260361,0.00207344
776,1,MS,4.14000000,1,392114.73749603,392114.73749603,0.00203864
777,1,MS,4.12600000,1,392030.82200470,392030.82200470,0.00203618
778,1,MS,4.17800000,1,391946.37846288,391946.37846288,0.00204531
779,1,MS,4.28000000,1,391861.22515300,391861.22515300,0.00206332
780,1,MS,4.38600000,1,391775.48245878,391775.48245878,0.00208219
781,1,MS,4.44500000,1,391689.64762017,391689.64762017,0.00209276
782,1,MS,4.50200000,1,391603.89230844,391603.89230844,0.00210302
783,1,MS,4.53500000,1,391518.46334854,391518.46334854,0.00210898
784,1,MS,4.61400000,1,391433.10316634,391433.10316634,0.00212331
785,1,MS,4.59100000,1,391348.62737853,391348.62737853,0.00211913
786,1,MS,4.53700000,1,391265.29468500,391265.29468500,0.00210934
787,1,MS,4.48600000,1,391183.10732154,391183.10732154,0.00210013
788,1,MS,4.50900000,1,391101.55865181,391101.55865181,0.00210428
789,1,MS,4.69400000,1,391019.42225108,391019.42225108,0.00213792
790,1,MS,5.02200000,1,390935.47576137,390935.47576137,0.00219876
791,1,MS,5.37900000,1,390849.12337082,390849.12337082,0.00226678
792,1,MS,5.87300000,1,390758.63624212,390758.63624212,0.00236408
793,1,MS,6.24700000,1,390664.18843637,390664.18843637,0.00244027
794,1,MS,6.56300000,1,390565.63245986,390565.63245986,0.00250638
795,1,MS,6.65300000,1,390464.81306711,390464.81306711,0.00252551
796,1,MS,6.59400000,1,390363.32426592,390363.32426592,0.00251296
797,1,MS,6.48400000,1,390261.99973781,390261.99973781,0.00248970
798,1,MS,6.36800000,1,390161.27563866,390161.27563866,0.00246540
799,1,MS,6.34400000,1,390060.67157088,390060.67157088,0.00246039
800,1,MS,6.32300000,1,389960.40389775,389960.40389775,0.00245602
801,1,MS,6.31400000,1,389860.60281376,389860.60281376,0.00245415
802,1,MS,6.33100000,1,389761.23069605,389761.23069605,0.00245769
803,1,MS,6.32400000,1,389662.64328819,389662.64328819,0.00245623
804,1,MS,6.31000000,1,389565.04700422,389565.04700422,0.00245332
805,1,MS,6.28800000,1,389468.64611062,389468.64611062,0.00244876
806,1,MS,6.30500000,1,389373.21897795,389373.21897795,0.00245228
807,1,MS,6.37600000,1,389278.44901874,389278.44901874,0.00246706
808,1,MS,6.52700000,1,389183.81619680,389183.81619680,0.00249877
809,1,MS,6.70000000,1,389089.25873841,389089.25873841,0.00253555
810,1,MS,6.75000000,1,388995.81876101,388995.81876101,0.00254628
811,1,MS,6.68900000,1,388904.29698993,388904.29698993,0.00253320
812,1,MS,6.51800000,1,388815.37714130,388815.37714130,0.00249687
813,1,MS,6.30100000,1,388729.08029210,388729.08029210,0.00245145
814,1,MS,6.29400000,1,388643.42804688,388643.42804688,0.00245000
815,1,MS,6.45200000,1,388556.67817464,388556.67817464,0.00248298
816,1,MS,6.77100000,1,388467.24373437,388467.24373437,0.00255079
817,1,MS,6.99800000,1,388375.40785522,388375.40785522,0.00260008
818,1,MS,7.32500000,1,388279.83436378,388279.83436378,0.00267260
819,1,MS,7.62000000,1,388180.51534413,388180.51534413,0.00273961
820,1,MS,7.57500000,1,388080.57467461,388080.57467461,0.00272929
821,1,MS,7.34000000,1,387981.79190309,387981.79190309,0.00267597
822,1,MS,7.14500000,1,387884.23595799,387884.23595799,0.00263245
823,1,MS,7.05000000,1,387787.43305844,387787.43305844,0.00261149
824,1,MS,7.02000000,1,387691.17963579,387691.17963579,0.00260490
825,1,MS,7.02500000,1,387595.41436609,387595.41436609,0.00260600
826,1,MS,7.04000000,1,387500.25209170,387500.25209170,0.00260929
827,1,MS,7.00700000,1,387406.25809813,387406.25809813,0.00260205
828,1,MS,6.97400000,1,387313.59117487,387313.59117487,0.00259482
829,1,MS,6.95600000,1,387222.29261385,387222.29261385,0.00259089
830,1,MS,6.95000000,1,387132.34550000,387132.34550000,0.00258958
831,1,MS,6.88900000,1,387044.20078899,387044.20078899,0.00257630
832,1,MS,6.69600000,1,386958.79326703,386958.79326703,0.00253470
833,1,MS,6.47200000,1,386876.27650547,386876.27650547,0.00248718
834,1,MS,6.40600000,1,386795.49500486,386795.49500486,0.00247333
835,1,MS,6.43100000,1,386715.87310353,386715.87310353,0.00247857
836,1,MS,6.39800000,1,386637.81795732,386637.81795732,0.00247166
837,1,MS,6.22500000,1,386562.06883624,386562.06883624,0.00243573
838,1,MS,6.37400000,1,386486.41661392,386486.41661392,0.00246665
839,1,MS,6.65900000,1,386409.82727524,386409.82727524,0.00252679
840,1,MS,7.04700000,1,386331.06721080,386331.06721080,0.00261083
